               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.09625,             0.15702,            0.024808,             0.41671,             0.31654,             0.30681,             0.16207,            0.094245,             0.22316,            0.030664,            0.002872,            0.002872,            0.002872
                  38,            0.095555,             0.15445,            0.024802,             0.41174,             0.32119,             0.30821,             0.16374,            0.094241,             0.22312,            0.030602,            0.002674,            0.002674,            0.002674
                  39,            0.095806,             0.15468,            0.024853,              0.4163,             0.31847,             0.30766,              0.1633,            0.094171,             0.22326,            0.030747,            0.002476,            0.002476,            0.002476
                  40,            0.095488,             0.15414,             0.02447,             0.42678,             0.32481,             0.31339,             0.16713,             0.09412,             0.22319,            0.030614,            0.002278,            0.002278,            0.002278
                  41,            0.095592,             0.15318,            0.024323,             0.41799,             0.32161,             0.31138,             0.16642,            0.094099,             0.22333,            0.030669,             0.00208,             0.00208,             0.00208
                  42,            0.095485,             0.15512,            0.024407,              0.4153,             0.32474,             0.31085,             0.16589,            0.094021,             0.22289,            0.030678,            0.001882,            0.001882,            0.001882
                  43,            0.095311,             0.15509,            0.024341,             0.41957,              0.3235,              0.3113,             0.16645,            0.093988,             0.22278,            0.030525,            0.001684,            0.001684,            0.001684
                  44,            0.095392,             0.15456,             0.02425,             0.41842,             0.32252,             0.30916,             0.16479,            0.093985,             0.22287,            0.030527,            0.001486,            0.001486,            0.001486
                  45,            0.095109,             0.15324,            0.024096,              0.4161,             0.32279,             0.31338,             0.16796,            0.094016,             0.22338,            0.030559,            0.001288,            0.001288,            0.001288
                  46,            0.095125,              0.1537,            0.023976,             0.41774,             0.32659,             0.31304,             0.16798,            0.093951,              0.2232,            0.030545,             0.00109,             0.00109,             0.00109
                  47,            0.095243,             0.15301,            0.024027,             0.42669,             0.32409,             0.31382,             0.16738,            0.093941,             0.22326,            0.030518,            0.000892,            0.000892,            0.000892
                  48,            0.095567,             0.15264,            0.024064,             0.42444,              0.3231,             0.31213,             0.16723,            0.093828,             0.22279,            0.030469,            0.000694,            0.000694,            0.000694
                  49,            0.094909,             0.15343,            0.023832,             0.41839,             0.32568,             0.31401,             0.16841,            0.093848,             0.22311,             0.03047,            0.000496,            0.000496,            0.000496
